Cod_IBGE;Grande região;Municípios;Tot_Mun de casos;Tot_Mun de óbitos;;;
3511706;Interior;Charqueada;3964;52;;;
3511904;Interior;Clementina;978;24;;;
3512001;Interior;Colina;2604;73;;;
3512100;Interior;Colômbia;1214;18;;;
3512209;Interior;Conchal;4870;95;;;
3512308;Interior;Conchas;3952;84;;;
3512407;Interior;Cordeirópolis;6020;115;;;
3512506;Interior;Coroados;1587;24;;;
3512605;Interior;Coronel Macedo;683;30;;;
3512704;Interior;Corumbataí;976;8;;;
3512803;Interior;Cosmópolis;8021;193;;;
3512902;Interior;Cosmorama;2009;44;;;
3513009;RMSP (exceto capital);Cotia;26615;792;;;
3513108;Interior;Cravinhos;2254;116;;;
3513207;Interior;Cristais Paulista;1303;18;;;
3513306;Interior;Cruzália;223;6;;;
3513405;Interior;Cruzeiro;7169;244;;;
3513504;Interior;Cubatão;17477;545;;;
3513603;Interior;Cunha;1169;43;;;
3513702;Interior;Descalvado;8607;103;;;
3513801;RMSP (exceto capital);Diadema;31083;1543;;;
3513850;Interior;Dirce Reis;328;6;;;
3513900;Interior;Divinolândia;2281;49;;;
3514007;Interior;Dobrada;626;13;;;
3514106;Interior;Dois Córregos;2077;46;;;
3514205;Interior;Dolcinópolis;414;9;;;
3514304;Interior;Dourado;2560;26;;;
3514403;Interior;Dracena;11466;300;;;
3514502;Interior;Duartina;2072;34;;;
3514601;Interior;Dumont;2542;28;;;
3514700;Interior;Echaporã;816;29;;;
3514809;Interior;Eldorado;3248;33;;;
3514908;Interior;Elias Fausto;2529;41;;;
3514924;Interior;Elisiário;634;13;;;
3514957;Interior;Embaúba;130;11;;;
3515004;RMSP (exceto capital);Embu das Artes;11146;727;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5897;235;;;
3515129;Interior;Emilianópolis;880;10;;;
3515152;Interior;Engenheiro Coelho;4236;65;;;
3515186;Interior;Espírito Santo do Pinhal;13033;136;;;
3515194;Interior;Espírito Santo do Turvo;824;11;;;
3515202;Interior;Estrela d'Oeste;3135;39;;;
3515301;Interior;Estrela do Norte;654;8;;;
3515350;Interior;Euclides da Cunha Paulista;534;18;;;
3515400;Interior;Fartura;4457;66;;;
3515509;Interior;Fernandópolis;19070;402;;;
3515608;Interior;Fernando Prestes;1436;14;;;
3515657;Interior;Fernão;693;6;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10656;522;;;
3515806;Interior;Flora Rica;146;10;;;
3515905;Interior;Floreal;888;9;;;
3516002;Interior;Flórida Paulista;3222;40;;;
3516101;Interior;Florínea;443;17;;;
3516200;Interior;Franca;38856;1083;;;
3516309;RMSP (exceto capital);Francisco Morato;15722;470;;;
3516408;RMSP (exceto capital);Franco da Rocha;18516;430;;;
3516507;Interior;Gabriel Monteiro;1147;8;;;
3516606;Interior;Gália;1010;21;;;
3516705;Interior;Garça;8987;165;;;
3516804;Interior;Gastão Vidigal;543;18;;;
3516853;Interior;Gavião Peixoto;1937;23;;;
3516903;Interior;General Salgado;1579;51;;;
3517000;Interior;Getulina;1057;36;;;
3517109;Interior;Glicério;1230;22;;;
3517208;Interior;Guaiçara;1692;30;;;
3517307;Interior;Guaimbê;952;9;;;
3517406;Interior;Guaíra;9123;240;;;
3517505;Interior;Guapiaçu;2394;96;;;
3517604;Interior;Guapiara;2894;97;;;
3517703;Interior;Guará;3802;116;;;
3517802;Interior;Guaraçaí;1601;30;;;
3517901;Interior;Guaraci;2390;30;;;
3518008;Interior;Guarani d'Oeste;871;8;;;
3518107;Interior;Guarantã;314;25;;;
3518206;Interior;Guararapes;9250;133;;;
3518305;RMSP (exceto capital);Guararema;2568;111;;;
3518404;Interior;Guaratinguetá;17197;382;;;
3518503;Interior;Guareí;4186;39;;;
3518602;Interior;Guariba;5062;130;;;
3518701;Interior;Guarujá;27679;1486;;;
3518800;RMSP (exceto capital);Guarulhos;84459;5528;;;
3518859;Interior;Guatapará;1128;28;;;
3518909;Interior;Guzolândia;865;34;;;
3519006;Interior;Herculândia;1256;33;;;
3519055;Interior;Holambra;3813;20;;;
3519071;Interior;Hortolândia;37176;884;;;
3519105;Interior;Iacanga;1892;34;;;
3519204;Interior;Iacri;1683;23;;;
3519253;Interior;Iaras;300;24;;;
3519303;Interior;Ibaté;5954;112;;;
3519402;Interior;Ibirá;2252;47;;;
3519501;Interior;Ibirarema;1224;37;;;
3519600;Interior;Ibitinga;15767;310;;;
3519709;Interior;Ibiúna;5339;164;;;
3519808;Interior;Icém;1917;37;;;
3519907;Interior;Iepê;1839;34;;;
3520004;Interior;Igaraçu do Tietê;4120;75;;;
3520103;Interior;Igarapava;1412;108;;;
3520202;Interior;Igaratá;2463;40;;;
3520301;Interior;Iguape;5209;124;;;
3520400;Interior;Ilhabela;7492;52;;;
3520426;Interior;Ilha Comprida;3527;65;;;
3520442;Interior;Ilha Solteira;4438;119;;;
3520509;Interior;Indaiatuba;28886;848;;;
3520608;Interior;Indiana;380;13;;;
3520707;Interior;Indiaporã;1252;14;;;
3520806;Interior;Inúbia Paulista;1254;21;;;
3520905;Interior;Ipaussu;4221;57;;;
3521002;Interior;Iperó;5679;76;;;
3521101;Interior;Ipeúna;785;24;;;
3521150;Interior;Ipiguá;1895;33;;;
3521200;Interior;Iporanga;876;8;;;
3521309;Interior;Ipuã;2774;69;;;
3521408;Interior;Iracemápolis;6642;111;;;
3521507;Interior;Irapuã;1355;31;;;
3521606;Interior;Irapuru;1680;42;;;
3521705;Interior;Itaberá;5396;77;;;
3521804;Interior;Itaí;6937;90;;;
3521903;Interior;Itajobi;5020;71;;;
3522000;Interior;Itaju;999;11;;;
3522109;Interior;Itanhaém;12522;403;;;
3522158;Interior;Itaoca;287;8;;;
3522208;RMSP (exceto capital);Itapecerica da Serra;12408;499;;;
3522307;Interior;Itapetininga;18240;607;;;
