Cod_IBGE;Grande região;Municípios;Tot_Mun de casos;Tot_Mun de óbitos;;;
3552908;Interior;Taciba;856;27;;;
3553005;Interior;Taguaí;3483;46;;;
3553104;Interior;Taiaçu;1250;15;;;
3553203;Interior;Taiúva;1085;18;;;
3553302;Interior;Tambaú;5059;61;;;
3553401;Interior;Tanabi;6833;132;;;
3553500;Interior;Tapiraí;868;11;;;
3553609;Interior;Tapiratiba;3090;35;;;
3553658;Interior;Taquaral;398;12;;;
3553708;Interior;Taquaritinga;14072;248;;;
3553807;Interior;Taquarituba;6555;117;;;
3553856;Interior;Taquarivaí;1008;21;;;
3553906;Interior;Tarabai;955;35;;;
3553955;Interior;Tarumã;1806;58;;;
3554003;Interior;Tatuí;21043;523;;;
3554102;Interior;Taubaté;35403;1146;;;
3554201;Interior;Tejupá;281;12;;;
3554300;Interior;Teodoro Sampaio;3613;61;;;
3554409;Interior;Terra Roxa;1372;37;;;
3554508;Interior;Tietê;7937;131;;;
3554607;Interior;Timburi;730;12;;;
3554656;Interior;Torre de Pedra;233;13;;;
3554706;Interior;Torrinha;3610;25;;;
3554755;Interior;Trabiju;451;5;;;
3554805;Interior;Tremembé;2867;69;;;
3554904;Interior;Três Fronteiras;1777;38;;;
3554953;Interior;Tuiuti;1220;19;;;
3555000;Interior;Tupã;8099;325;;;
3555109;Interior;Tupi Paulista;3947;55;;;
3555208;Interior;Turiúba;543;4;;;
3555307;Interior;Turmalina;535;7;;;
3555356;Interior;Ubarana;1581;24;;;
3555406;Interior;Ubatuba;11084;155;;;
3555505;Interior;Ubirajara;577;13;;;
3555604;Interior;Uchoa;1885;39;;;
3555703;Interior;União Paulista;319;7;;;
3555802;Interior;Urânia;3057;49;;;
3555901;Interior;Uru;394;5;;;
3556008;Interior;Urupês;930;53;;;
3556107;Interior;Valentim Gentil;4522;76;;;
3556206;Interior;Valinhos;22169;518;;;
3556305;Interior;Valparaíso;4972;89;;;
3556354;Interior;Vargem;606;22;;;
3556404;Interior;Vargem Grande do Sul;5591;115;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;6564;131;;;
3556503;Interior;Várzea Paulista;13188;311;;;
3556602;Interior;Vera Cruz;705;45;;;
3556701;Interior;Vinhedo;17638;250;;;
3556800;Interior;Viradouro;2963;101;;;
3556909;Interior;Vista Alegre do Alto;1913;23;;;
3556958;Interior;Vitória Brasil;770;10;;;
3557006;Interior;Votorantim;12540;572;;;
3557105;Interior;Votuporanga;21907;508;;;
3557154;Interior;Zacarias;280;12;;;
3557204;Interior;Chavantes;2697;60;;;
3557303;Interior;Estiva Gerbi;1195;36;;;
;;Ignorado;216;0;;;
;;;;;;;
